,Make,Model,Buyer_Gender,Buyer_Age,Buzzword,Country,City,Dealer_Latitude,Dealer_Longitude,Color,New_Car,Purchase_Date,Sale_Price,Discount,Resell_Price,5-yr_Depreciation,Top_Speed,0-60_Time
34,Maserati,Spyder,Female,65,open system,Bhutan,Mongar,27.2753739,91.2397775,Violet,False,2005-10-05,98249.11,0.4141,42102.6,0.1,208.9,3.3
35,Buick,Riviera,Female,49,Up-sized,Mexico,Francisco I Madero,25.7784224,-103.2605763,Indigo,True,2003-03-09,18698.98,0.1543,35681.18,0.22,230.7,7.8
36,Cadillac,Seville,Male,52,task-force,Indonesia,Mondokan,-7.3072726,110.9387418,Turquoise,True,2008-07-07,31017.64,0.1139,11061.65,0.18,132.6,12.7
37,Buick,Century,Male,75,infrastructure,Mexico,Guadalupe Victoria,32.28786,-115.1046436,Turquoise,False,2004-01-04,32002.48,0.2772,23777.88,0.02,224.7,5.8
38,Scion,iQ,Male,48,secured line,France,Saint-Dizier,48.65639,4.912419,Teal,False,2011-10-03,74486.44,0.4516,12498.33,0.2,177.8,12.7
39,BMW,7 Series,Male,29,Operative,Afghanistan,Kandahār,31.628871,65.7371749,Teal,True,2015-07-08,89823.58,0.3765,2386.28,0.07,160.8,10.9
40,Chevrolet,Camaro,Male,49,Open-source,Serbia,Beška,45.1364794,20.0820648,Maroon,False,2005-11-19,33074.12,0.3942,25108.18,0.12,138.3,8.2
41,Subaru,Outback,Female,72,User-centric,Sweden,Norrköping,58.5706557,16.1653052,Yellow,False,2013-10-23,71250.14,0.2833,16427.16,0.23,193.4,14.9
42,Mercedes-Benz,C-Class,Female,23,circuit,United States,Roanoke,37.27,-79.94,Purple,False,2016-03-22,17346.3,0.1651,35127.97,0.13,227.5,2.6
43,Mercedes-Benz,Sprinter 3500,Female,28,adapter,Russia,Roshal’,55.6583701,39.8653499,Green,False,2008-10-24,17223.27,0.1352,41532.58,0.22,236.5,14.9
44,Chevrolet,Suburban 1500,Male,36,Profit-focused,Maldives,Open Stage,5.1053,73.07115,Pink,True,2009-03-18,10490.64,0.4448,16590.68,0.22,230.7,12.0
45,Volkswagen,Cabriolet,Female,22,secondary,Argentina,Costa Sacate,-31.646394,-63.760259,Fuscia,True,2016-04-30,62673.34,0.2907,30736.63,0.11,195.4,7.6
46,Ford,E-Series,Female,40,Synergistic,China,Ciyu,27.9593333,-82.7996813,Indigo,True,2014-11-03,10978.72,0.6184,43459.97,0.06,213.0,4.4
47,Pontiac,Bonneville,Male,20,Right-sized,Czech Republic,Třebíč,49.2147869,15.8795516,Goldenrod,False,2011-09-08,30807.01,0.4902,5822.22,0.06,170.0,4.8
48,Volvo,XC70,Male,48,analyzer,Russia,Dal’neye Konstantinovo,55.8071267,44.086347,Orange,True,2017-11-10,83931.45,0.558,33976.28,0.07,125.2,9.7
49,Chevrolet,Silverado 3500,Male,60,Optional,Russia,Strel'na,59.8583045,30.0461164,Red,True,2012-02-03,19302.57,0.2671,38297.54,0.09,233.3,8.0
50,Volkswagen,Phaeton,Male,45,Open-source,Portugal,Marinha,39.856276,-8.78126,Red,True,2012-04-16,36523.47,0.1267,48115.11,0.14,182.4,9.9
51,Cadillac,CTS,Female,57,infrastructure,Mozambique,Mocímboa,-11.3535985,40.3522402,Indigo,True,2013-07-17,93725.09,0.2,9196.36,0.19,232.3,7.4
52,Dodge,Durango,Female,48,Balanced,Colombia,Ciénaga,10.8698035,-73.9830029,Green,False,2008-12-28,48174.96,0.1,27476.49,0.24,210.0,4.6
53,Ford,Th!nk,Female,54,orchestration,Costa Rica,Alajuela,10.0165314,-84.2184331,Red,True,2011-01-18,39940.53,0.6543,21190.78,0.16,133.5,3.0
54,Lincoln,Continental,Male,40,radical,Belgium,Charleroi,50.4315612,4.4472854,Mauv,False,2009-09-28,62801.41,0.0507,30282.08,0.15,145.1,10.3
55,Buick,Riviera,Male,43,client-server,Russia,Novocherkassk,47.3695152,40.0905465,Mauv,False,2014-04-11,99186.8,0.057,25198.46,0.11,163.2,13.3
56,Dodge,Ram 1500,Male,37,Versatile,China,Jiangbei,29.606703,106.574271,Indigo,False,2018-09-25,12092.44,0.4744,36585.91,0.22,127.8,14.5
57,Buick,Rendezvous,Female,67,Organized,China,Guli,30.051035,122.0185,Red,True,2007-08-19,85370.17,0.5946,43712.39,0.12,122.0,6.6
58,Porsche,928,Female,52,Devolved,Portugal,Casal Velho,39.9097534,-8.6587037,Red,False,2009-02-18,91569.45,0.4036,32465.38,0.09,238.2,7.0
59,Toyota,Tacoma,Male,47,global,Morocco,Zaïo,34.9363523,-2.7431421,Blue,True,2008-02-17,72220.87,0.0389,32189.6,0.05,189.9,2.7
60,Mitsubishi,Mighty Max,Male,51,intangible,Portugal,Antas,41.400351,-8.5116191,Puce,True,2013-10-19,67361.0,0.0754,8769.93,0.02,173.4,12.5
61,Nissan,Pathfinder,Female,33,hub,Indonesia,Andongsari,-8.3743886,113.6383187,Puce,True,2013-05-01,16690.95,0.1239,43704.45,0.06,140.9,3.0
62,Volvo,C70,Male,75,Automated,France,Saint-Louis,47.6329545,7.4839022,Yellow,False,2009-04-27,80005.09,0.2991,17870.18,0.19,184.5,14.4
63,Land Rover,Range Rover Sport,Female,39,Business-focused,Peru,Achoma,-15.6627675,-71.6992231,Mauv,False,2003-04-28,29540.76,0.1941,37955.07,0.03,239.9,7.0
64,Mazda,B-Series,Female,57,asymmetric,Brazil,Poções,-14.5124962,-40.3496894,Puce,True,2008-05-02,94478.19,0.5603,8795.96,0.17,241.1,13.3
65,Mazda,Miata MX-5,Female,33,User-friendly,Kazakhstan,Taranovskoye,52.8303055,62.5102237,Goldenrod,True,2017-07-09,77820.86,0.4957,7471.61,0.2,167.6,8.8
66,Mazda,B-Series,Male,23,Synergistic,Russia,Imeni Tsyurupy,55.49567,38.65064,Fuscia,True,2009-08-09,89937.38,0.4935,18059.9,0.18,247.1,14.3
67,Kia,Sedona,Female,47,Vision-oriented,China,Menlou,37.417116,121.241089,Aquamarine,False,2014-01-18,14249.35,0.3563,18006.37,0.19,131.8,9.0
68,Dodge,Ram Wagon B150,Female,31,fresh-thinking,Slovenia,Zgornje Gorje,46.3789875,14.0683139,Orange,True,2014-02-10,88403.45,0.6041,38462.86,0.17,140.5,9.4
69,Oldsmobile,Aurora,Male,29,success,Colombia,Baranoa,10.796589,-74.915036,Yellow,True,2015-04-17,80008.79,0.5568,15031.08,0.02,212.2,10.1
70,Hyundai,Accent,Male,24,workforce,China,Raofeng,28.953503,116.822083,Violet,False,2014-12-30,96871.79,0.1005,26562.59,0.24,221.9,12.6
71,Cadillac,Seville,Male,56,definition,Indonesia,Garahaji,-7.0543951,108.6131093,Maroon,True,2009-10-15,32886.45,0.5906,8755.67,0.09,210.2,2.5
72,Hyundai,Scoupe,Female,54,directional,Libya,Sirte,31.189689,16.5701927,Turquoise,False,2005-06-06,61187.73,0.2211,5769.58,0.02,193.4,6.3
73,Lincoln,MKT,Male,22,internet solution,Poland,Unisław,53.2122406,18.3961325,Mauv,False,2017-11-05,82041.15,0.4005,4828.57,0.18,194.4,9.5
74,Volkswagen,riolet,Male,68,Exclusive,Philippines,Veruela,8.0708562,125.9551406,Fuscia,False,2008-01-18,61672.51,0.6507,20056.62,0.17,180.6,10.0
75,Land Rover,Range Rover,Male,26,attitude-oriented,Greece,Xylókastro,38.0772641,22.6326975,Blue,True,2010-11-22,63541.5,0.3331,25320.33,0.04,156.6,3.2
76,Dodge,Dakota,Male,69,Synchronised,China,Dingqing,31.412405,95.595761,Indigo,True,2013-09-14,67756.75,0.5481,48952.84,0.14,171.1,8.8
77,Chevrolet,Corvette,Male,31,attitude,China,Waihai,37.513068,122.120419,Purple,True,2005-12-30,26799.6,0.327,14872.73,0.2,237.1,6.7
78,Mitsubishi,i-MiEV,Female,61,Managed,Philippines,Mancilang,11.2666664,123.7333298,Mauv,False,2020-04-20,86271.49,0.3916,8972.83,0.23,171.5,13.0
79,GMC,Rally Wagon 3500,Male,33,homogeneous,South Korea,Incheon,37.4562557,126.7052062,Khaki,False,2007-01-12,20227.66,0.6088,13643.1,0.17,201.4,13.7
80,Acura,TSX,Female,53,hierarchy,Philippines,Allacapan,18.226045,121.555888,Yellow,True,2020-08-16,95145.37,0.1882,8939.94,0.15,135.6,13.9
81,Acura,ZDX,Male,21,data-warehouse,Iran,Jongīyeh,31.25583,48.61667,Khaki,False,2010-01-23,78654.35,0.5165,40166.49,0.19,243.9,6.3
82,Jeep,Cherokee,Female,47,ability,Costa Rica,Alajuela,10.0165314,-84.2184331,Maroon,False,2002-01-16,12269.08,0.2123,24563.29,0.22,199.8,14.1
83,Toyota,Avalon,Female,24,conglomeration,China,Zhangshi,37.187796,115.387259,Aquamarine,True,2016-04-25,86030.75,0.4619,11812.27,0.19,209.8,8.0
84,Lamborghini,Aventador,Male,66,attitude,Serbia,Toba,45.6910361,20.5792392,Fuscia,False,2005-02-11,13125.55,0.2144,22598.45,0.17,196.6,10.9
85,Mercury,Tracer,Male,74,info-mediaries,Denmark,København,55.6658602,12.5482906,Teal,False,2005-08-12,10325.14,0.3594,37585.42,0.02,164.4,5.4
86,Chevrolet,Express 3500,Male,53,Graphical User Interface,Czech Republic,Strážnice,48.9010174,17.3168102,Green,False,2003-01-02,94891.39,0.3807,40867.01,0.2,233.7,9.7
87,Buick,Reatta,Male,40,Centralized,Finland,Ruokolahti,61.8628073,29.2775676,Blue,True,2015-03-20,41371.09,0.5978,37181.0,0.06,120.9,13.5
88,Volkswagen,Jetta,Male,32,Open-architected,Indonesia,Krajan,-7.5450262,111.6556388,Fuscia,False,2006-07-10,72916.91,0.0153,25187.09,0.06,167.4,6.4
89,Lincoln,Navigator L,Male,30,attitude-oriented,Philippines,Bombon,13.6867437,123.1989968,Goldenrod,False,2012-10-09,49236.57,0.233,43125.82,0.2,233.0,4.7
90,Nissan,300ZX,Female,65,incremental,Japan,Okaya,35.0475045,136.1219714,Green,False,2008-07-11,89316.77,0.4114,48449.81,0.02,232.0,12.9
91,Toyota,MR2,Female,40,Progressive,Argentina,Carhué,-34.6738798,-58.4933597,Fuscia,True,2006-06-21,50551.94,0.1761,17203.48,0.24,217.0,12.2
92,Suzuki,Swift,Male,68,Intuitive,Indonesia,Pandian,-7.0116198,113.8510375,Purple,True,2012-01-06,65942.41,0.3707,5906.33,0.16,142.8,2.9
93,Mitsubishi,Tredia,Male,21,Distributed,Indonesia,Cipanjang,-6.765065,107.8643822,Teal,False,2015-10-11,64606.94,0.1835,13087.44,0.17,158.5,2.9
94,Mitsubishi,Mirage,Male,51,Ergonomic,Honduras,Quebradas,14.3770919,-87.1242072,Pink,True,2015-07-18,36633.17,0.0835,44886.19,0.11,135.3,6.2
95,Chevrolet,Monte Carlo,Female,22,application,Philippines,Tarlac City,15.4621386,120.5797508,Purple,False,2003-07-18,71271.58,0.2057,35814.7,0.21,139.5,2.7
96,Saturn,VUE,Male,72,Streamlined,Bulgaria,Strazhitsa,43.273732,25.9799453,Pink,True,2018-12-09,51257.04,0.5219,33433.41,0.18,124.9,10.5
97,Volkswagen,GTI,Female,24,Upgradable,Brazil,Brodósqui,-19.8078961,-43.9875878,Mauv,True,2017-12-04,21483.41,0.5382,28182.4,0.16,193.7,11.2
98,Plymouth,Prowler,Female,66,Multi-lateral,Indonesia,Kedungwringin,-7.4461263,109.2207098,Yellow,False,2012-04-22,96277.99,0.0542,23765.17,0.06,164.9,9.5
99,Audi,A8,Female,37,strategy,Indonesia,Duwaktenggi,-7.1108,113.5265,Maroon,False,2013-01-06,11287.25,0.3109,34835.55,0.09,169.1,7.1
100,Lamborghini,Diablo,Male,38,utilisation,Mexico,Providencia,32.458113,-116.9193767,Mauv,False,2013-02-28,87311.9,0.3602,42468.37,0.04,245.1,7.2
101,Mercedes-Benz,R-Class,Male,71,Horizontal,Peru,Ica,-14.07546,-75.7341811,Maroon,True,2018-10-01,32143.59,0.3586,29177.53,0.16,134.3,13.7
102,Cadillac,XLR,Female,73,leading edge,Mexico,La Esperanza,23.7173024,-99.185752,Violet,False,2002-08-23,94162.23,0.6042,9953.73,0.19,139.6,9.4
103,Mazda,626,Male,67,national,China,Jiutai,44.151742,125.8395731,Yellow,False,2011-08-08,80656.65,0.5077,48768.09,0.14,157.9,3.4
104,Pontiac,Firebird,Female,29,artificial intelligence,Japan,Maki,37.6623635,139.1346049,Yellow,False,2013-11-09,94996.07,0.0866,20574.37,0.08,211.9,11.5
105,Honda,Fit,Male,66,Extended,Peru,Granada,-6.05,-77.583333,Crimson,False,2012-03-13,64560.37,0.4185,37241.46,0.01,143.2,10.3
106,Lexus,ES,Male,34,time-frame,Czech Republic,Březí,49.3431786,16.2159455,Khaki,False,2005-05-04,75463.55,0.6147,35588.91,0.09,249.0,11.4
107,BMW,7 Series,Female,40,structure,United States,Chicago,41.8784851,-87.627893,Yellow,False,2007-02-16,22060.5,0.2873,17943.65,0.25,171.0,6.3
108,Mazda,Millenia,Male,62,process improvement,Philippines,Sibucao,10.4184707,122.8854511,Aquamarine,False,2014-05-29,82657.77,0.5422,40091.69,0.21,177.1,2.3
109,Cadillac,STS,Female,21,help-desk,Kiribati,Betio Village,1.3566345,172.9299068,Red,True,2003-09-29,81090.19,0.1061,9615.36,0.24,244.3,12.3
110,Porsche,911,Male,37,Extended,China,Baihe,32.809026,110.112629,Green,False,2017-03-01,97251.74,0.6322,42643.45,0.19,228.9,6.9
111,Chevrolet,Camaro,Male,56,installation,Mexico,El Limon,19.75,-104.016667,Aquamarine,False,2016-07-05,75317.54,0.1836,9056.29,0.22,191.3,3.7
112,Toyota,Paseo,Female,68,foreground,South Africa,Jan Kempdorp,-27.92295,24.83446,Puce,True,2007-02-02,75504.88,0.0641,17685.3,0.15,147.3,4.3
113,Cadillac,Escalade ESV,Female,22,Future-proofed,Brazil,Trindade,-7.740099,-40.2884386,Blue,False,2006-10-25,30728.18,0.2784,45652.52,0.04,203.9,14.7
114,Oldsmobile,Alero,Female,58,Innovative,China,Baozi,30.131784,120.056029,Teal,True,2003-02-26,11609.78,0.1487,18772.76,0.05,238.5,3.0
115,Lexus,GS,Male,27,standardization,United States,Van Nuys,34.1985119,-118.4980744,Turquoise,False,2002-11-28,57177.42,0.5584,49239.84,0.17,182.7,10.9
116,BMW,M3,Female,26,Team-oriented,China,Fengqiao,30.780217,120.644805,Pink,False,2017-08-03,94448.79,0.3456,33328.55,0.14,193.8,7.6
117,Cadillac,Escalade,Female,63,Visionary,United States,Omaha,41.2418116,-95.9673967,Green,False,2008-01-03,63096.11,0.0116,19383.63,0.24,229.0,5.3
118,Pontiac,Trans Sport,Female,24,Cross-platform,China,Sexiong,31.394935,92.835795,Indigo,True,2008-02-25,42191.59,0.3234,6153.48,0.04,195.1,6.5
119,Honda,Civic,Male,24,system engine,China,Shuangjing,39.896995,116.46662,Red,False,2015-02-16,57860.96,0.3663,23047.65,0.25,128.2,4.3
120,Mercury,Topaz,Female,53,alliance,Chile,Los Ángeles,-37.4629159,-72.3612251,Orange,False,2005-09-17,78275.4,0.4228,47037.99,0.08,188.0,12.1
121,Mazda,MPV,Female,25,archive,Russia,Mar’ina Roshcha,56.2835999,44.0036677,Crimson,False,2004-02-16,85619.92,0.375,23323.23,0.02,231.3,13.0
122,Toyota,MR2,Female,42,global,Japan,Chino,35.089251,135.8827528,Violet,True,2004-10-28,15788.39,0.1417,6342.62,0.21,248.6,4.3
123,Suzuki,Swift,Female,61,Upgradable,Japan,Sasebo,33.2487196,129.736915,Violet,False,2007-12-05,94045.36,0.292,43612.23,0.15,193.9,14.0
124,Honda,Civic,Male,41,static,Kosovo,Gllogjan,42.5064293,20.3599254,Green,False,2007-02-01,14212.88,0.5741,42933.75,0.1,201.2,5.3
125,BMW,6 Series,Male,20,Expanded,China,Yiqi,39.1372748,111.6717568,Aquamarine,True,2009-12-09,33527.91,0.4813,38401.36,0.24,137.2,8.7
126,Mercury,Lynx,Male,26,Decentralized,China,Qiankeng,26.750454,119.105047,Red,True,2002-09-19,29563.05,0.6375,49251.28,0.07,149.0,4.0
127,Buick,Century,Female,40,Synchronised,France,Paris 04,43.4945737,5.8978018,Red,True,2008-10-02,28069.14,0.5426,3384.26,0.14,160.7,10.6
128,BMW,330,Male,67,local area network,China,Zonghan,30.184907,121.227926,Fuscia,True,2008-11-14,36588.29,0.6931,40824.76,0.19,177.9,2.8
129,Mitsubishi,Cordia,Female,65,orchestration,United States,Migrate,38.3237571,-108.1821561,Blue,True,2020-01-03,86350.32,0.2886,19850.62,0.05,124.5,7.5
130,Volvo,XC90,Female,44,neutral,France,Charleville-Mézières,49.7720225,4.7201792,Khaki,True,2015-11-19,36700.85,0.3661,45806.23,0.07,242.0,7.6
131,Maserati,228,Female,57,attitude,China,Huangdimiao,33.765469,113.994752,Maroon,True,2004-09-23,34974.97,0.3454,13020.82,0.24,174.2,3.4
132,Chevrolet,Venture,Male,31,Pre-emptive,Greece,Ílion,38.0307786,23.7038541,Goldenrod,False,2016-01-22,30928.23,0.2766,23444.88,0.06,225.1,5.2
133,Cadillac,DeVille,Female,35,methodical,Russia,Bobrov,51.0846,39.9972,Violet,False,2003-09-18,66283.98,0.1554,2409.83,0.08,233.3,5.1
134,Lexus,IS-F,Female,53,service-desk,China,Taixi,34.657162,104.549685,Green,False,2003-09-06,75332.73,0.5734,32384.92,0.1,124.1,9.8
135,Nissan,Sentra,Male,34,array,Sweden,Umeå,63.8277884,20.2655577,Turquoise,False,2003-07-15,30464.6,0.2383,3131.75,0.19,128.5,11.6
136,Ford,Escort,Female,37,Optional,Pakistan,Daulatpur,26.5015552,67.9731001,Blue,False,2007-10-26,63177.26,0.6657,33893.06,0.11,221.4,7.7
137,Oldsmobile,Cutlass Supreme,Female,56,content-based,China,Shanghu,31.2303904,121.4737021,Red,False,2019-03-20,46709.45,0.1984,46184.9,0.2,158.4,3.5
138,Audi,S8,Female,23,Face to face,Indonesia,Cihideung Satu,-6.9028171,106.3483779,Yellow,True,2015-01-21,62496.9,0.0454,49168.17,0.25,236.8,14.0
139,Pontiac,Firebird,Male,45,Vision-oriented,Kuwait,Bayān,29.2979895,48.0510871,Indigo,True,2017-01-07,71301.2,0.5589,15055.83,0.13,228.5,13.5
140,Hyundai,Elantra,Female,20,Pre-emptive,China,Huaqiao,24.9372186,118.6422409,Mauv,False,2016-12-16,66157.63,0.4681,8070.75,0.07,125.1,2.3
141,Aston Martin,DB9,Male,47,service-desk,Ukraine,Tlumach,48.8588029,24.9968117,Violet,False,2018-06-12,75881.16,0.6649,10743.31,0.03,240.0,9.7
142,Volkswagen,New Beetle,Male,36,matrices,Ecuador,Machachi,-0.5107264,-78.5717631,Pink,False,2009-09-01,34156.39,0.2888,13071.68,0.23,172.3,2.5
143,Chevrolet,Uplander,Male,59,Function-based,Indonesia,Pedaringan,-7.5539241,110.8513373,Green,False,2020-04-19,80753.77,0.49,43638.05,0.23,246.5,11.4
144,Ford,Laser,Female,72,Switchable,Liberia,Kakata,6.5301553,-10.3441758,Pink,True,2008-05-09,42705.38,0.0404,36280.09,0.15,187.0,14.9
145,Audi,S4,Male,54,Monitored,United States,Austin,30.181965,-97.9701846,Pink,False,2009-07-09,91954.75,0.3502,26324.05,0.15,220.6,11.2
146,Chevrolet,Silverado 3500,Male,31,hub,Thailand,Khuan Don,6.7762942,100.0952764,Red,True,2009-09-18,27819.81,0.159,6869.51,0.02,212.2,8.1
147,Pontiac,LeMans,Male,57,tertiary,Indonesia,Sembon,-8.0088871,111.9030636,Teal,True,2009-02-16,21740.31,0.6864,7654.25,0.02,239.1,12.7
148,Mercedes-Benz,E-Class,Female,41,asymmetric,Indonesia,Bangkal,-2.609012,112.403397,Goldenrod,False,2009-10-16,69723.76,0.3496,42080.13,0.17,231.7,14.7
149,Hyundai,Tiburon,Male,42,approach,Poland,Lipno,50.781501,20.1074449,Crimson,True,2009-07-03,77331.24,0.5947,33602.25,0.09,211.9,11.0
150,BMW,5 Series,Male,47,multi-tasking,Sweden,Göteborg,57.7314074,12.0595845,Fuscia,True,2010-06-24,34912.47,0.6632,27425.31,0.14,151.7,10.5
151,Toyota,Echo,Female,27,Operative,China,Hong’an,31.288153,114.618236,Turquoise,True,2009-07-29,47526.31,0.3834,24888.7,0.25,155.0,2.6
152,Mitsubishi,Precis,Male,57,local area network,Canada,Oromocto,45.8486646,-66.4812859,Maroon,True,2020-05-12,13154.21,0.2667,2261.63,0.05,142.2,10.0
153,Plymouth,Breeze,Female,36,Decentralized,Portugal,Casal Galego,39.7541856,-8.9232253,Blue,False,2013-04-04,72003.02,0.5215,38508.27,0.15,180.6,14.0
154,BMW,Alpina B7,Female,74,toolset,Serbia,Majur,44.7695326,19.6480341,Crimson,False,2018-03-29,30087.14,0.343,13755.88,0.23,232.1,12.2
155,Lamborghini,Gallardo,Female,71,fresh-thinking,Sweden,Höganäs,56.1947971,12.5789091,Indigo,True,2002-04-25,73063.61,0.2606,10648.0,0.18,229.5,12.5
156,Chevrolet,Corvette,Male,30,context-sensitive,Indonesia,Jalinan,-6.1841954,106.8310178,Yellow,False,2013-03-01,62426.28,0.1793,3388.52,0.2,126.8,13.6
157,Oldsmobile,Cutlass Supreme,Male,34,instruction set,Portugal,Chavães,41.0882428,-7.5686677,Pink,False,2011-07-30,25403.61,0.4088,26004.13,0.03,177.3,9.1
158,Pontiac,Grand Am,Female,20,human-resource,Estonia,Toila,59.4180182,27.5120803,Teal,False,2004-02-03,30618.42,0.1583,15690.94,0.19,194.0,10.1
159,Pontiac,LeMans,Male,51,object-oriented,Bangladesh,Sylhet,24.904539,91.8611011,Teal,True,2007-08-30,11462.18,0.0404,23415.84,0.24,205.4,11.6
